planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Al-Battani I,,AlBattaniI,Barren,Planet,Barren Planet,Al-Battani,35,1.00,,,,Inferno,High CO2,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,2,3,0,2,3,7,4,1,1,0,0,0,0
Al-Battani I-a,,AlBattaniIa,Barren,Moon,Barren Moon,Al-Battani,35,0.23,,,,Inferno,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Al-Battani I-b,,AlBattaniIb,Barren,Moon,Barren Moon,Al-Battani,35,0.27,,,,Inferno,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Al-Battani I-c,,AlBattaniIc,Barren,Moon,Barren Moon,Al-Battani,35,0.16,,,,Inferno,None,None,None,"Fe,He-3,Ta",3,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,7,1,1,1,0,0,0,0
Al-Battani II,,AlBattaniII,Rock,Planet,Rock Planet,Al-Battani,35,0.84,,,,Temperate,Std O2,Weak,Safe,"Cu,Dy,H20,HnCn,IL,Ni,Pb",7,Moderate (7),Marginal (3),"Hills,Mountains,Ocean,Polar-Ice","Hills,Mountains,Ocean,Ice",Unknown,100.0%,Yes,0,0,0,0,1,4,4,6,3,6,4,3,7,3
Al-Battani III,,AlBattaniIII,Rock,Planet,Rock Planet,Al-Battani,35,1.51,,,,Cold,Extr M,Very strong,None,"Cu,F,Ni,Pb,Pd",5,None,None,"Desert-Rocky,Hills,SavannahBarren","Desert,Hills,Savannah",Unknown,33.3%,No,0,2,3,0,1,4,3,5,6,1,2,1,0,0
Al-Battani III-a,,AlBattaniIIIa,Barren,Moon,Barren Moon,Al-Battani,35,0.15,,,,Cold,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,3,1,1,1,0,0,0,0
Al-Battani III-b,,AlBattaniIIIb,Barren,Moon,Barren Moon,Al-Battani,35,0.13,,,,Cold,None,None,None,"Al,Be,He-3",3,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,3,1,1,1,0,0,0,0
Al-Battani IV,,AlBattaniIV,Rock,Planet,Rock Planet,Al-Battani,35,0.79,,,,Frozen,Std N2,Very strong,Chemical,"Cl,Fe,H20,HnCn,Pb,SiH3Cl",6,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,58.3%,Yes,0,0,0,0,1,4,2,2,6,3,0,0,0,0
Al-Battani IV-a,,AlBattaniIVa,Barren,Moon,Barren Moon,Al-Battani,35,0.07,,,,Frozen,None,None,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,2,1,1,1,0,0,0,0
Al-Battani IV-b,,AlBattaniIVb,Barren,Moon,Barren Moon,Al-Battani,35,0.07,,,,Frozen,None,None,None,,0,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,0,3,2,1,1,1,0,0,0,0
Al-Battani V,,AlBattaniV,Barren,Planet,Barren Planet,Al-Battani,35,0.77,,,,Deep freeze,None,Weak,None,"Fe,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,3,1,0,0,0,0
Al-Battani V-a,,AlBattaniVa,Barren,Moon,Barren Moon,Al-Battani,35,0.15,,,,Deep freeze,None,None,None,"Al,Be,He-3,Nd",4,None,None,Cratered,Cratered,Unknown,33.3%,No,1,0,0,0,2,3,1,1,1,1,0,0,0,0
Al-Battani VI,,AlBattaniVI,Gas giant,Planet,Gas giant Planet,Al-Battani,35,1.99,,,,Deep freeze,H2,Strong,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,5,1,0,0,0,0
